AFAM;African/African American Studies
AFDEV;African Developmental Studies
AMMU;American Music Concentration
AMST;American Studies
ANBEH;Animal Behavior
ANTLN;Anthropological Linguistics
APLOG;Applied Logic
ARBC;Arabic
ARCHL;Archaeology
ARCN;Archaeology
ARTH;Art History
ARTS;Studio Art
ASLN;Asian Languages & Literatures
ASST;Asian Studies
ASTR;Astronomy
BICHM;Biochemistry
BIOL;Biology
BLDNC;Black Cultural Identity & Dance
BRIST;British Studies
CAMS;Cinema and Media Studies
CCST;Cross Cultural Studies
CGSC;Cognitive Science
CGST;Cognitive Studies
CHCST;Chicano Studies
CHEM;Chemistry
CHIN;Chinese
CHINA;Chinese
CLAS;Classics
CLLN;Classical Languages
CMPLT;Comparative Literature
COGSC;Cognitive Science
COGST;Cognitive Studies
COST;Cognitive Studies
CRCST;Cross-Cultural Studies
CS;Computer Science
CSBIO;Computational Biology
DANC;Dance
DANCE;Dance
DGART;Digital Arts
DMSED;Dance, Music & Education
DRAMA;Dramatic Arts
EATS;Environment & Technology Studies
ECON;Economics
ECOSY;Ecosystem Science
EDUC;Educational Studies
EGECH;Environmental Geo-Chemisty
ENGL;English
ENTS;Environmental Studies
ENVST;Environmental St
ERSCI;Environmental Science
ESYSC;Earth System Science
ETHBO;Ethnobotany
ETHIC;Ethics
ETHMU;Ethnomusicology
EUPEC;European Political Economics
EURST;European Asian Studies
EUST;European Studies
FREN;French and Francophone Studies
FRNST;French Studies
FRST;French & Francophone Studies
GENSC;Genome Science
GEOL;Geology
GERM;German
GLETH;Global Ethics
GRK;Greek
GRMST;German Studies
HEBR;Hebrew
HIST;History
HMNCI;Human-Computer Interaction
HMNEC;Human Ecology
HUMN;Humanities
IBBIOL;Biology
IDSC;Interdisciplinary
IGS;Integrated Generational Studies
INDVP;International Development
INTRL;International Relations
IPOEC;International Political Economics
ISLST;Islamic Studies
JAPAN;Japanese
JAPN;Japanese
JPNLG;Japanese Lang
JPNLT;Japanese Literature
JPNST;Japanese Cultural Studies
LATN;Latin
LCST;Literature & Cultural Studies
LING;Linguistics
LIST;Literary Studies
LNGCS;Linguistics/Computer Science
LNGUI;Linguistics
LTAM;Latin American Studies
LTNME;Latin American/Media Studies
MARS;Medieval and Renaissance St
MATH;Mathematics
MEDA;Media Studies
MEDAR;Media/Studio Art
MEDIA;Media Studies
MELA;Middle Eastern Languages
MLNG;Modern Languages & Literature
MRST;Medieval & Renaissance Studies
MUSC;Music
MUSTH;Music Theory
NARST;Narrative Studies
NATH;Natural History
NATHI;Natural History
NATHS;Natural History
NATRE;Natural Resources
NEUR;Neuroscience
NORW;Norwegian
NROLG;Neurolinguistics
NROSC;Neuroscience
NRTAR;Narrative Arts
OCP;Off-Campus Studies
PE;Physical-Education, Athleticism/Recreation
PHIL;Philosophy
PHLEW;Philosophy East West
PHSCI;Philosophy of Science
PHTOP;Photography & Optics
PHYS;Physics
POLEC;Political Economics
POLPH;Political Philosophy
PORT;Portfolio (writing)
POSC;Political Science
POSOC;Political Sociology
PSYC;Psychology
RELG;Religion
RESMG;Resource Management
RLNG;Romance Languages
RMLL;Romance Language & Literature
RMNLL;Romance Languages & Lit
RUSS;Russian
SECOI;Self, Community & Interpretation
SOAN;Sociology/Anthropology
SOCEC;Social Ecology
SOCED;Social Theory of Education
SPAN;Spanish
SPSYC;Social Psychology
TAPS;Technology & Policy Studies
THART;Theater Arts
THDN;Theater and Dance
THEA;Theater Arts
THEAR;Theater
THEST;Theatre Studies
URBST;Urban Studies
URMED;Urban Media
WGST;Women's and Gender Studies
WMST;Women's Studies
WOMST;Women's Studies
